date_scraped,average_sentiment,negative,neutral,positive
2024-05-09,0.02586206896551724,21,71,24
2024-05-10,0.034782608695652174,20,71,24
2024-05-11,-0.008695652173913044,17,82,16
2024-05-12,-0.03389830508474576,21,80,17
2024-05-13,-0.034782608695652174,19,81,15
2024-05-14,-0.02608695652173913,21,76,18
2024-05-15,0.034782608695652174,16,79,20
2024-05-16,0.02564102564102564,19,76,22
2024-05-17,0.04054054054054054,21,100,27
2024-05-18,0.013605442176870748,23,99,25
2024-05-19,0.02040816326530612,25,94,28
